date,open,high,low,close,volume,name
2013-02-08,102.38,102.96,101.81,102.79,1726289,COST
2013-02-11,102.87,102.94,101.76,101.99,1457384,COST
2013-02-12,102.21,102.23,101.53,101.76,1203174,COST
2013-02-13,101.98,102.37,100.95,101.63,1224373,COST
2013-02-14,101.04,102.06,101.012,102.02,2211142,COST
2013-02-15,101.79,103.13,101.03,102.17,4239570,COST
2013-02-19,102.35,102.4,101.47,101.9,1894174,COST
2013-02-20,102.18,102.63,101.05,101.08,1915021,COST
2013-02-21,101.17,101.42,100.26,100.69,2730413,COST
2013-02-22,101.07,101.3,100.23,101.16,1576132,COST
2013-02-25,101.64,102.13,100.06,100.09,1643973,COST
2013-02-26,100.1,100.762,99.305,99.45,2915089,COST
2013-02-27,99.67,101.54,98.95,100.73,2510976,COST
2013-02-28,101.07,102.37,100.792,101.29,2213051,COST
2013-03-01,100.82,101.65,100.26,101.42,1790052,COST
2013-03-04,101.26,103.46,101.16,103.43,1941972,COST
2013-03-05,103.68,103.88,102.75,103.15,1611648,COST
2013-03-06,103.15,103.49,102.36,102.56,1254331,COST
2013-03-07,103.55,103.98,101.9,101.97,2603259,COST
2013-03-08,102.58,103.26,101.86,103.04,1549191,COST
2013-03-11,103.55,103.69,102.35,102.44,2120769,COST
2013-03-12,103.61,105.52,103.26,103.75,3794946,COST
2013-03-13,103.99,104.19,102.91,103.42,2459086,COST
2013-03-14,103.27,104.03,102.91,102.91,2316625,COST
2013-03-15,102.55,102.99,101.51,101.746,4001782,COST
2013-03-18,101.34,102.01,101.01,101.68,2137918,COST
2013-03-19,101.86,102.5399,101.13,102.12,2239813,COST
2013-03-20,102.44,103.355,102.335,103.08,2316362,COST
2013-03-21,102.85,103.97,102.68,103.52,2216701,COST
2013-03-22,103.46,105.12,103.44,105.11,2017000,COST
2013-03-25,105.19,105.77,104.56,105.47,2315240,COST
2013-03-26,105.69,106.01,105.44,105.97,1452685,COST
2013-03-27,105.24,106.77,105.04,106.64,1970957,COST
2013-03-28,106.66,107.0621,105.61,106.11,1672884,COST
2013-04-01,106.0,106.59,105.381,105.81,1005672,COST
2013-04-02,106.27,107.75,106.0301,107.68,1831836,COST
2013-04-03,107.5,107.74,106.0,106.36,1833127,COST
2013-04-04,106.26,106.89,105.46,106.36,1575701,COST
2013-04-05,105.3,105.97,104.45,105.8,1678824,COST
2013-04-08,106.45,107.09,105.87,107.04,1077521,COST
2013-04-09,107.25,107.28,105.59,105.79,1947206,COST
2013-04-10,105.73,106.52,105.525,105.75,1757155,COST
2013-04-11,105.88,106.4,105.19,106.01,2319396,COST
2013-04-12,106.14,106.79,105.651,106.13,1437668,COST
2013-04-15,105.45,106.22,104.131,104.21,1818126,COST
2013-04-16,104.73,105.79,104.55,105.55,2796434,COST
2013-04-17,104.77,105.25,104.34,104.77,1882584,COST
2013-04-18,104.76,105.12,103.33,103.61,1854230,COST
2013-04-19,103.2,104.65,103.2,104.45,2215523,COST
2013-04-22,104.43,105.78,104.27,105.16,2048310,COST
2013-04-23,105.74,107.35,105.54,107.25,1731063,COST
2013-04-24,107.46,108.35,107.3,107.83,2234212,COST
2013-04-25,108.35,109.34,107.8,109.13,1846809,COST
2013-04-26,108.9,109.75,108.38,109.27,2146663,COST
2013-04-29,109.3,109.47,108.47,108.63,1728260,COST
2013-04-30,108.12,108.57,107.68,108.43,1561333,COST
2013-05-01,108.13,109.0,107.96,108.22,1199392,COST
2013-05-02,108.17,109.29,107.72,108.69,1442844,COST
2013-05-03,109.93,110.41,109.01,109.75,1407584,COST
2013-05-06,109.71,110.25,109.03,109.09,1112698,COST
2013-05-07,109.02,109.779,108.66,109.71,1617338,COST
2013-05-08,109.9,110.25,109.4,109.61,863785,COST
2013-05-09,109.88,110.155,108.88,109.14,1306233,COST
2013-05-10,109.41,110.155,109.17,109.99,1239598,COST
2013-05-13,109.69,110.325,109.6,110.01,1246524,COST
2013-05-14,110.29,111.72,109.885,111.39,1932706,COST
2013-05-15,110.86,112.95,110.69,112.82,1810523,COST
2013-05-16,112.59,113.0,111.22,111.51,1533529,COST
2013-05-17,112.21,113.19,111.64,113.05,1678219,COST
2013-05-20,113.06,113.1289,111.95,112.02,1664208,COST
2013-05-21,112.48,113.96,112.21,113.48,1945999,COST
2013-05-22,113.33,114.72,112.93,113.38,2524281,COST
2013-05-23,112.73,114.2,111.85,113.19,2225152,COST
2013-05-24,112.48,114.69,112.25,114.39,1769695,COST
2013-05-28,115.1,115.77,114.03,114.83,2693348,COST
2013-05-29,114.53,114.655,112.74,112.95,1833743,COST
2013-05-30,114.28,115.49,111.87,111.88,3459254,COST
2013-05-31,112.12,112.74,109.63,109.631,3537104,COST
2013-06-03,109.92,111.05,108.565,110.88,2341313,COST
2013-06-04,110.86,111.81,109.9,110.66,1855182,COST
2013-06-05,110.12,110.585,108.88,109.17,2018394,COST
2013-06-06,109.54,111.13,109.38,111.09,2186733,COST
2013-06-07,111.24,111.95,110.17,110.58,2013338,COST
2013-06-10,110.93,111.03,109.64,110.31,1563896,COST
2013-06-11,109.75,111.0,109.52,110.02,1066300,COST
2013-06-12,110.75,110.82,109.11,109.4,1320185,COST
2013-06-13,109.17,111.14,109.02,110.88,1230494,COST
2013-06-14,110.37,111.624,110.33,111.0,1317916,COST
2013-06-17,111.75,112.5,110.939,111.7,1441615,COST
2013-06-18,111.54,112.2,111.2,112.085,1250104,COST
2013-06-19,112.23,112.59,110.14,110.19,1458388,COST
2013-06-20,109.73,109.73,107.38,107.56,2211878,COST
2013-06-21,108.39,109.58,107.9,108.65,3111406,COST
2013-06-24,107.46,110.6,107.44,109.64,1832256,COST
2013-06-25,110.68,110.68,109.24,110.25,1607798,COST
2013-06-26,110.45,111.47,110.1,111.18,1539192,COST
2013-06-27,111.57,112.35,111.24,111.49,922198,COST
2013-06-28,111.21,112.22,110.52,110.57,1853520,COST
2013-07-01,111.55,111.81,110.319,110.43,1112669,COST
2013-07-02,110.63,111.87,110.45,110.85,1279653,COST
2013-07-03,110.43,111.2899,110.06,110.91,755129,COST
2013-07-05,112.24,112.31,110.71,111.76,1366659,COST
2013-07-08,112.34,112.97,112.07,112.62,1525171,COST
2013-07-09,113.09,113.6,112.75,113.35,1360797,COST
2013-07-10,113.48,114.04,113.31,113.65,1274231,COST
2013-07-11,114.84,115.94,114.3447,115.895,1549829,COST
2013-07-12,115.47,116.88,115.2,116.46,2233231,COST
2013-07-15,116.0,116.24,115.121,115.89,1156403,COST
2013-07-16,116.17,116.74,115.55,116.53,1295143,COST
2013-07-17,116.96,117.7,116.3501,117.4,1276865,COST
2013-07-18,117.34,117.6,116.4,117.06,1180656,COST
2013-07-19,117.58,118.14,116.57,118.07,1639191,COST
2013-07-22,118.82,118.83,117.65,118.05,1157965,COST
2013-07-23,118.37,119.15,118.29,119.1,1079585,COST
2013-07-24,119.0,119.3899,117.25,117.9,1726844,COST
2013-07-25,117.09,117.68,116.66,117.45,1352152,COST
2013-07-26,116.77,117.0,115.54,116.57,1863058,COST
2013-07-29,116.48,117.7,116.24,117.14,1198066,COST
2013-07-30,117.84,118.31,116.77,116.93,1162466,COST
2013-07-31,117.55,118.1,116.97,117.42,1925224,COST
2013-08-01,118.07,118.6,117.65,118.34,1265163,COST
2013-08-02,118.3,119.5,117.92,119.37,1503570,COST
2013-08-05,119.45,120.2,118.94,120.07,1336829,COST
2013-08-06,119.24,119.92,119.02,119.5,1308478,COST
2013-08-07,119.15,119.52,118.46,119.34,1298486,COST
2013-08-08,118.06,118.9099,116.08,117.39,2372919,COST
2013-08-09,116.86,117.245,115.37,115.63,1676883,COST
2013-08-12,115.59,116.21,115.02,115.73,1596807,COST
2013-08-13,116.34,116.35,114.75,115.65,1230333,COST
2013-08-14,115.15,115.25,113.59,113.78,1656533,COST
2013-08-15,112.46,112.7799,111.51,111.79,1656613,COST
2013-08-16,111.77,112.51,111.65,111.9,1650981,COST
